`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
168,Jalandhar,Punjab,155.7285,214.85025,0,0,0,0.04725,31.61375,0.0025,0.0355,0.2105,0.74275,0.9825,1.6725,0.674,3.377,0,0,0.16425,4.1555,0.00025,9.622,18,1.1625,2.5595,18.72325,21.2815,12.89975,0.10075,42.522,31.2922,75.5679
169,Hoshiarpur,Punjab,69.2715,167.54975,0.015,0,0.015,0.30525,72.58625,0.0075,0.002,2.697,0.37075,3.1845,2.56,0.741,3.253,0,0.00125,0.10175,3.71175,0,9.43225,17.485,0.575,6.086,10.77775,16.8645,8.10775,0.0315,36.31575,31.6093,75.8460
170,Roopnagar / Ropar,Punjab,40.3725,83.1525,0.1,0,0.1,0.2075,28.9875,0.0075,0.7625,2.30375,1.11125,1.66975,0.8675,0.555,2.25,0,0.001,0.015,0.4,0,3.70275,8.1425,0.4125,2.421,2.55975,4.98275,1.08575,0.0515,17.75,30.9688,76.5261
171,Ludhiana,Punjab,223.73,268.28375,0.016,0,0.016,0.10125,14.365,0.0825,2.68225,0.277,4.1035,4.7575,5.365,0.1075,2.057,0,0,0.0075,1.05575,0,8.5895,5.40475,5.435,2.1495,9.808,11.957,4.117,0.1195,44.92425,30.9090,75.8516
172,Ferozpur,Punjab,417.8025,705.0075,0.21525,0,0.22075,3.6235,2.7505,0.0175,9.34525,13.14825,1.1255,13.06275,0.50525,1.9195,19.33525,0,0.007,0,1.787,0.001,23.59075,6.1395,230.06675,19.462,9.824,29.2855,2.32525,0.098,91.24975,30.4003,74.0328
174,Bhatinda,Punjab,183.23,480.0725,0.05725,0,0.05925,5.8965,1.8395,0.005,10.39225,26.40675,0.3265,4.21825,0.69725,0.2605,18.25475,0,0.00675,0,0.7205,0.00025,19.33725,1.7055,277.75075,5.32075,7.49925,12.819,2.8455,0.12075,60.3075,30.2068,74.9464
175,Sangrur,Punjab,303.411,389.593,0.0955,0,0.0955,4.9635,7.92299999999999,0.0075,6.4615,4.3535,1.932,4.4095,5.1,0.0025,4.02675,0,0,0,0.10225,0,9.17725,5.21925,44.6,1.835,4.112,5.9465,0.87625,0.07325,51.8875,30.1357,75.8533
176,Patiala,Punjab,283.284,321.74825,0.054,0,0.054,0.63525,9.84949999999999,0.0625,2.68325,1.90925,1.80325,2.53625,3.1125,0.03,3.64675,0,0,0.035,1.977,0,8.469,7.14075,3.9825,2.9615,9.89425,12.8535,3.8035,0.43675,44.0175,30.2093,76.3397
177,Hissar,Haryana,126.61,602.23175,3.70225,0,3.78575,212.26125,0.712,0,18.2675,207.17075,1.866,9.635,1.289,0.85225,189.64425,0,0.45,0.005,0.001,0,197.50125,6.09975,418.46925,6.2295,6.754,12.97975,0.59775,0.15425,193.76225,29.8223,76.4209
180,Gurgaon,Haryana,28.1085,231.59,31.004,0,31.959,75.00875,1.3075,0,12.58725,9.14624999999999,4.2,3.765,0.34325,1.5235,48.68525,0,0,0,0,0,50.81325,7.03225,1.93175,0.75975,6.4395,7.29625,0.56975,0.368,41.622,28.4646,77.0299
181,Jind,Haryana,98.4795,207.11875,4.007,0,4.007,47.905,0.436,0,2.2525,18.025,1.762,1.66275,0.0025,0.36575,11.3765,0,0,0.0025,0.00725,0,12.03625,8.85325,46.236,1.05775,1.65125,2.70775,0.235,0.06475,29.90175,29.3152,76.3141
182,Mahendragarh / Narnaul,Haryana,2.963,110.24325,3.43625,0,3.495,198.8455,0.034,0,8.9025,63.161,0.5505,1.4475,0.156,0.265,142.569,0,0.00475,0,0.00025,0,143.35925,0.54575,18.71925,0.17875,1.508,1.68925,0.02425,0.07525,48.95775,28.1397,76.1836
183,Ambala,Haryana,118.66775,158.0195,0.1475,0,0.1475,2.55725,19.779,0,0.816,5.35125,2.13275,6.8195,1.6105,0.20275,5.8265,0,0,0.0375,0.80075,0,10.94325,42.63425,0.903,0.686,8.336,9.02225,3.4285,1.00425,29.53175,30.3844,76.7704
184,Karnal,Haryana,435.03075,497.37675,1.921,0,1.966,10.4575,6.68025,0,1.4175,4.19875,2.08775,3.93025,0.075,0.18875,6.09175,0,0,0.02,1.09725,0,12.6535,30.24825,5.9995,2.28575,12.7445,15.027,5.9155,0.66,60.26925,29.7256,76.9107
186,Rohtak,Haryana,87.8275,308.7335,58.8405,0,60.19575,70.347,1.4,0,6.92825,23.0445,11.45225,2.4685,0.0765,0.223,56.00725,0,0,0,0.00225,0,57.08275,27.91575,14.431,2.03075,6.81275,8.843,0.55375,0.2785,36.32375,28.9011,76.5802
189,Saharanpur,Uttar Pradesh,85.131,172.296,0.231,0,0.231,0.50325,16.0115,0.0225,0.372,1.147,0.1145,11.40125,7.984,0.84325,2.439,0,0.0005,0.01525,0.04225,0.00325,10.273,171.90825,1.509,21.6345,7.50475,29.13975,1.192,0.27675,71.6085,29.9857,77.5041
190,Muzaffarnagar,Uttar Pradesh,36.47325,140.73975,0.03725,0,0.03725,0.1345,5.08825,0.0225,0.5255,0.8985,0.25975,6.93925,0.26275,0.03775,3.1755,0,0.00025,0.002,0.07275,0.00075,2.95925,210.3085,1.412,6.39475,5.95275,12.34725,2.3195,0.32025,63.401,29.4497,77.7429
191,Meerut,Uttar Pradesh,39.59475,237.4125,0.83075,0,0.833,8.88325,28.3725,0.00025,3.346,1.935,3.809,8.40225,0,0.01025,7.19325,0,0.0015,0.004,0.16175,0.0005,6.27375,224.941,1.22925,10.81275,20.5965,31.40875,10.8275,0.3785,112.99275,29.0019,77.7680
192,Buland Shahar,Uttar Pradesh,42.96525,221.2725,1.93725,0,1.9425,17.31025,94.6635,0,15.92675,3.3175,10.321,11.00175,0.0085,0.153,11.5285,0,0.0005,0.002,0.174,0.00025,11.0065,62.689,1.28825,12.54025,13.39225,25.932,8.2275,0.5295,66.05575,27.1303,80.8597
194,Aligarh,Uttar Pradesh,42.876,263.42925,0.70825,0,0.7085,111.97625,42.8585,0,30.4025,6.17925,18.797,28.20925,0.0829999999999999,0.20025,37.7505,0,0.001,0.00175,0.25575,0,35.27275,11.36225,4.4375,9.09325,26.51925,35.6105,26.71,0.171,33.29775,27.8761,78.1358
195,Mathura,Uttar Pradesh,25.3155,182.17425,1.38975,0,1.3925,50.5625,1.752,0.0025,17.0845,3.61575,3.98325,7.36175,0.00625,0.811,47.26475,0,0.00025,0.0005,0.2095,0.0005,44.49425,9.871,2.344,0.785,8.45825,9.24375,7.36325,0.048,32.65925,27.4956,77.6856
196,Agra,Uttar Pradesh,6.8265,153.331,1.009,0,1.02275,120.94275,2.718,0,16.43375,13.66575,6.52425,5.75725,0.1055,2.2215,80.71725,0,0.0035,0.05275,0.15525,0,78.757,0.958,0.576,3.01325,33.5935,36.60675,33.84425,0.1935,21.762,27.1753,78.0098
197,Mainpuri,Uttar Pradesh,68.76375,191.782,1.86475,0,1.9085,54.28275,44.5575,0.00025,13.446,7.3905,3.24825,11.4115,1.08925,1.1935,19.758,0,0.003,0.03825,0.4505,0,20.593,1.05075,0.00975000000000001,2.69725,27.65025,30.3455,27.486,0.804,11.31575,27.2093,79.0625
198,Etah,Uttar Pradesh,33.52975,197.94725,1.36125,0,1.36225,77.241,56.532,0,15.7365,7.8865,5.9215,26.81725,1.47725,0.847,18.04525,0,0.00375,0.01675,0.47425,0,17.97875,8.3095,0.244,9.39125,17.54225,26.93275,9.069,0.54475,10.8155,27.5550,78.5992
199,Bareilly,Uttar Pradesh,145.13425,182.192,7.19925,0,7.20875,10.736,2.99525,0.00025,0.71375,4.12425,2.565,17.369,5.28175,2.52325,10.90225,0,0.0195,0.46775,0.15725,0.4235,17.3205,68.95575,0.0005,6.1225,10.70025,16.823,4.297,0.6145,12.7905,28.4582,79.4047
200,Budaun,Uttar Pradesh,67.85975,262.63725,5.09625,0,5.1185,117.7085,23.48275,0,3.32875,8.64175,3.13325,27.994,11.41525,2.0545,19.6905,0,0.0005,0.004,0.77475,0.22225,29.95425,25.03225,0.056,5.4955,21.44325,26.93875,15.578,2.13875,6.47925,28.0367,79.1234
201,Moradabad,Uttar Pradesh,131.46625,282.455,5.171,0,5.17925,45.33675,14.3275,0.0025,1.38475,1.94775,1.6615,13.07225,3.2065,0.8195,9.659,0,0.00175,0.08175,0.06425,0.0005,12.192,134.8505,0.04625,11.2475,16.9785,28.2245,10.7575,0.54425,53.56025,28.8797,78.8095
202,Shahjahanpur,Uttar Pradesh,167.46025,228.26125,4.8705,0,4.9425,7.74075,3.8485,0,1.983,7.962,2.928,24.96925,5.663,7.381,11.28325,0,0.016,0.252,0.058,0.27075,21.8645,41.91075,0.02125,3.66625,10.65475,14.32075,6.5225,0.33025,11.23775,27.9129,79.7476
203,Pilibhit,Uttar Pradesh,139.65475,139.07,0.56525,0,0.5655,0.1085,1.03375,0,0.31275,1.426,0.85925,7.6545,0.48675,1.37425,8.56625,0,0.005,0.17175,0.04,0.07575,8.89675,49.09875,0.00825,1.827,3.04825,4.87475,0.81075,0.04275,8.362,28.4947,80.1076
204,Rampur,Uttar Pradesh,118.1105,125.3145,5.1365,0,5.168,3.354,4.0135,0,0.1585,1.47425,0.941,5.91575,0.328,0.1145,5.10275,0,0.001,0.03425,0.605,0.21925,5.60425,25.1985,0.00525,3.67675,5.59025,9.26625,2.426,0.2365,10.478,28.7935,79.1846
205,Bijnor,Uttar Pradesh,62.24825,118.665,0.05825,0,0.05875,0.3885,1.0065,0,0.564,1.69175,0.7265,6.31975,4.12225,0.959,2.885,0,0.0005,0.006,0.05275,0.0105,7.71325,185.72525,0.1085,5.52925,3.46775,8.996,1.088,0.12225,31.12975,29.4074,78.4821
206,Farrukhabad,Uttar Pradesh,31.7095,142.76875,6.50275,0,6.60275,10.81825,83.70775,0,4.97825,9.228,4.78725,10.12075,2.923,2.55325,16.5355,0,0.001,0.001,3.72525,0.0005,23.28725,8.47775,0.00075,6.489,58.6235,65.111,58.982,1.47775,6.64675,27.4362,79.4895
207,Etawah,Uttar Pradesh,84.4405,160.97225,3.0845,0,3.1525,61.438,20.08775,0,10.415,17.18625,9.26675,15.616,0.206,0.7165,29.40775,0,0.001,0.00925,0.249,0.00075,27.92175,3.12325,0.01,1.2035,13.928,15.13175,12.797,0.31225,5.5535,26.7156,79.0917
208,Kanpur,Uttar Pradesh,81.74425,199.87625,28.896,0,30.209,16.909,33.422,0,17.58,51.68425,18.17475,25.85075,0.507,3.28525,40.155,0,0.0115,0.199,1.37075,0.08725,41.18425,6.944,0.166,2.47375,17.50225,19.9765,12.01275,0.75725,11.46975,26.4609,80.3218
209,Fatehpur,Uttar Pradesh,82.45475,141.5025,22.69225,0,23.193,8.50325,0.3535,0.06275,12.3475,50.27575,17.96875,12.3125,0.23675,5.613,12.10425,0,0.028,0.27625,0.034,0.0055,15.631,8.05925,0.01,1.16175,9.117,10.27975,5.4045,1.04925,7.56,25.8348,80.9155
210,Allahabad,Uttar Pradesh,186.64275,251.21375,19.372,0,19.96525,46.23375,0.535,0.0725,16.8255,47.25425,23.5295,20.52775,0.227,1.8205,2.26625,0,0.315,4.819,0.0165,0.00725,8.31625,3.90275,0,3.7165,20.05075,23.7665,15.4045,0.628,5.72325,25.4381,81.8338
211,Jhansi,Uttar Pradesh,11.66775,225.58075,40.32175,0,40.841,0.2825,26.41575,0,8.99075,107.6345,8.1925,207.80675,24.41125,34.41875,7.8205,0,0.70825,8.89875,0.15375,12.23175,69.96675,0.45225,0.00175,0.23125,4.961,5.191,0.78475,0.172,0.677,25.5299,78.6528
213,Jalaun,Uttar Pradesh,1.7985,115.84375,15.5505,0,16.0075,14.737,0.015,0,8.988,69.406,9.124,106.62725,0.07525,16.6755,8.983,0,0.3245,4.50375,0.03525,3.79225,26.92875,1.578,0.00025,0.09175,3.196,3.28825,0.406,0.127,2.658,26.1049,79.3919
214,Hamirpur,Uttar Pradesh,2.04875,153.0175,50.25525,0,51.517,0.7055,0.0965,0,5.68175,150.4805,22.21675,125.2355,5.79325,24.3525,9.944,0,1.15075,14.0355,0.027,1.54675,44.33525,3.79725,0.00025,0.11325,2.37625,2.49025,0.141,0.157,1.09525,25.7500,80.0000
215,Banda,Uttar Pradesh,71.8295,186.64425,58.38225,0,60.5965,12.686,0.03275,0,8.92275,151.05975,29.63225,45.85825,0.54125,6.24,4.19525,0,0.347,4.798,0.0175,1.5165,13.02475,0.82675,0.00025,0.29875,1.8835,2.18175,0.43175,0.285,3.193,25.4439,80.5595
216,Varanasi,Uttar Pradesh,169.95275,193.11875,4.897,0,5.117,18.1185,7.347,0.02275,4.35075,12.0495,13.75375,20.14475,0.03125,0.56,1.019,0,0.11125,1.8165,0.02675,0,3.234,9.85575,0.00175,3.2375,9.52175,12.759,6.13475,0.518,5.4825,25.3356,83.0076
217,Mirzpur,Uttar Pradesh,153.51425,144.268,6.81675,0,7.1065,11.6195,17.0755,0.058,22.688,30.8905,23.38775,22.383,2.236,6.441,5.72225,0,0.87325,14.183,0.01725,0.002,26.3105,3.066,0,0.853,5.61875,6.47225,2.839,0.639,2.16425,27.1303,80.8597
218,Jaunpur,Uttar Pradesh,126.02275,183.196,4.13175,0,4.29625,6.209,49.7245,0.04275,3.11975,9.82825,10.825,12.87875,0.003,0.371,1.88775,0,0.00775,0.0965,0.03925,0.00025,1.9485,14.07475,0.0005,2.76625,12.28425,15.05025,10.808,1.13575,2.94475,25.7967,82.4889
219,Ghazipur,Uttar Pradesh,134.462,151.7495,3.8775,0,4.03025,14.00075,1.5115,0.003,8.98525,12.86125,7.944,17.35775,0.089,0.07075,0.46225,0,0.004,0.1235,0.0375,0.00025,0.61725,11.50825,0,3.0125,10.34525,13.35625,7.8385,0.8385,9.849,25.6035,83.5076
220,Ballia,Uttar Pradesh,111.28525,125.48125,2.28975,0,2.354,2.782,21.65325,0.027,8.51275,13.68375,8.9415,16.97275,0.2225,0.00375,0.77125,0,0.0215,0.0365,0.02475,0.00125,0.90075,10.56875,0.001,3.2085,8.321,11.52875,6.51975,0.6965,1.45775,25.8750,84.1210
221,Gorakhpur,Uttar Pradesh,312.9685,313.6945,0.09075,0,0.09075,0.31975,4.51525,0.02925,5.79475,6.55975,9.45175,20.94175,4.7885,0.3175,6.67375,0,0.0495,0.86475,0.0905,0.00225,11.3915,23.41525,0,8.209,10.457,18.6645,7.1385,0.5455,2.58025,26.6678,83.3642
222,Deoria,Uttar Pradesh,242.696,247.02575,0.3745,0,0.37675,0.83875,11.693,0.205,3.179,3.3185,8.7755,9.18475,1.671,0.27075,9.05425,0,0.00625,0.09275,0.06025,0.0005,9.88,82.96175,0.00025,7.67475,7.674,15.349,4.1535,0.501,0.84525,26.4240,83.7639
223,Basti,Uttar Pradesh,375.71675,328.22625,0.05225,0,0.05275,0.4785,9.4505,0.102,4.62075,13.435,11.425,24.64025,1.2285,0.30275,8.648,0,0.0705,1.34325,0.10475,0.0035,10.31575,35.20825,0,8.0205,9.33225,17.352,7.19975,0.57625,5.69825,26.8387,82.5351
224,Azamgarh,Uttar Pradesh,279.08025,288.916,0.11525,0,0.11525,0.70025,11.105,0.175,11.248,12.43925,15.491,13.208,0.62025,0.102,1.2015,0,0.0005,0.02225,0.0405,0.00025,1.46325,34.123,0,2.1025,9.89175,11.99325,6.78675,0.8955,5.78825,26.0236,83.0293
225,Lucknow,Uttar Pradesh,50.6155,80.416,5.36975,0,5.505,2.74125,3.512,0.0025,1.7015,4.8035,4.0995,10.11125,1.06725,0.70775,2.3735,0,0.0085,0.08125,0.05275,0,3.41125,0.66725,0.005,16.499,9.725,26.22275,5.767,0.2235,3.66025,26.8381,80.9346
226,Unnao,Uttar Pradesh,88.016,196.50675,10.378,0,10.61125,2.26075,33.29425,0.01025,9.30925,9.727,8.589,19.1385,5.86475,5.04525,10.65075,0,0.0395,0.3955,0.1595,0.00425,19.365,2.22675,0,10.507,10.67425,21.18125,6.20225,0.38575,4.96725,26.5673,80.6198
227,Rae-Bareily,Uttar Pradesh,133.52975,168.131,14.05425,0,14.4575,2.71325,0.23725,0.179,7.7775,10.47025,12.32525,22.773,2.609,1.894,6.13625,0,0.03475,0.34475,0.0845,0,9.60275,4.19525,0,0.9155,7.91325,8.8275,5.16425,0.37775,4.99425,27.1303,80.8597
228,Sitapur,Uttar Pradesh,142.96925,196.96975,9.112,0,9.31825,3.77725,19.25725,0,7.51525,10.5245,11.0825,33.5315,9.88,4.95725,14.01975,0,0.07,0.8265,0.05625,0.007,25.399,92.73525,0.0015,11.683,6.0095,17.69225,3.853,0.2345,6.005,27.5027,80.8335
229,Hardoi,Uttar Pradesh,113.54125,274.0915,15.10975,0,15.4515,6.17575,48.2095,0.0025,9.153,14.51425,8.01125,29.44225,16.269,9.4125,13.64025,0,0.00575,0.07575,0.2995,0.01125,35.75425,26.3185,0.00025,5.9265,13.63375,19.56025,9.5925,0.5855,5.6545,27.3370,80.0998
230,Kheri,Uttar Pradesh,175.068,187.67575,1.7025,0,1.714,0.64975,15.97875,0,2.42975,4.846,3.9575,26.181,9.51275,3.6535,28.81975,0,0.01475,0.3575,0.079,0.00375,36.80275,178.135,0,3.984,3.27775,7.261,1.467,0.131,9.03775,28.1167,80.7167
231,Faizabad,Uttar Pradesh,192.96275,194.65825,4.3575,0,4.50475,0.14275,4.1875,0.0025,2.18675,10.48025,7.1555,17.595,0.0795,0.096,4.846,0,0.004,0.085,0.076,0,4.2515,25.00025,0,7.45125,12.8285,20.28,8.79225,0.4035,8.0445,26.7808,82.1487
232,Gonda,Uttar Pradesh,240.01125,239.96425,0.37375,0,0.37825,0.196,70.29825,0.01275,3.7025,20.2415,15.1125,42.594,0.312,0.20675,20.5935,0,0.2095,2.55,0.018,0.01025,20.72375,65.7145,0,3.41125,7.45425,10.865,4.763,0.6365,4.56225,27.1104,81.9239
233,Bahraich,Uttar Pradesh,221.841,207.262,0.592,0,0.59875,0.19325,112.18275,0.004,3.37325,11.81325,9.12875,64.10375,3.773,0.709,12.30875,0,0.09075,1.81575,0.0515,0.0175,17.091,19.49125,0.00075,4.02175,5.156,9.178,2.81025,0.66875,2.76575,27.7344,81.4765
234,Sultanpur,Uttar Pradesh,154.73625,152.71675,9.2725,0,9.63925,0.79,5.4355,0.02025,5.18375,14.6635,10.29625,23.0005,0.043,0.3765,2.916,0,0.03325,0.3045,0.135,0,3.18275,9.68275,0,12.822,10.8255,23.647,6.2935,0.65725,8.6995,26.2605,82.2381
235,Pratapgarh,Uttar Pradesh,103.09575,134.2315,5.10375,0,5.2695,14.35525,1.82075,0.3255,5.18675,7.87075,12.31825,15.67775,0.0025,0.55425,1.47775,0,0.0195,0.16,0.0025,0,1.96475,1.9535,0,2.20625,7.8065,10.01225,6.03225,0.41125,2.98325,25.7500,81.7500
236,Barabanki,Uttar Pradesh,168.38525,154.01,5.33375,0,5.443,1.12925,6.8025,0.0055,1.58225,10.5995,6.2715,26.506,1.36175,0.303,10.40225,0,0.0095,0.14,0.028,0.00125,9.6585,13.807,0.00025,6.022,14.02325,20.04425,13.2415,0.4475,7.32425,26.9421,81.3856
237,Nainital,Uttarakhand,115.10325,118.05225,0.0025,0,0.0025,0.00625,7.388,3.1805,1.34075,1.17425,0.138,5.7225,0.07175,0.0805,7.45325,0.00025,0.00675,1.0605,0.11525,10.614,11.60575,37.19175,0,5.557,6.515,12.01675,2.385,0.158,11.36475,29.2950,79.4163
238,Almorah,Uttarakhand,34.46575,57.62,0,0,0,0,2.4335,33.1475,5.776,0.04575,0.013,4.15225,0.00075,0.1795,0.56575,0,0,0,0.00175,2.40325,0.62375,0,0,0.298,2.61775,2.917,1.15925,0.359,0.0155,30.0417,79.0897
239,Pithorgarh,Uttarakhand,32.0505,38.20075,0,0,0,0,4.36825,13.87275,5.61925,0.04425,0.026,6.848,0.0095,0.099,0.67575,0,0,0,0.00675,3.4035,1.12125,0.0065,0,0.188,3.35575,3.5455,1.4765,0.362,0.048,30.0417,79.0897
240,Chamoli,Uttarakhand,19.37825,23.0535,0,0,0,0,0.4025,12.741,2.29225,0.0055,0.13675,1.04525,0,0.0765,0.54025,0,0,0,0,1.368,0.44025,0,0,0.1395,2.07875,2.218,1.623,0.035,0.00225,30.4986,79.6191
241,Uttar Kashi,Uttarakhand,10.25125,13.20075,0,0,0,0,0.493,5.01175,0.4085,0.002,0.1785,1.859,0,0.64025,0.743,0,0,0,0.008,1.234,0.98225,0,0,0.45275,2.33825,2.79075,1.7225,0.00300000000000001,0,30.0417,79.0897
242,Tehri Garhwal,Uttarakhand,14.78525,31.78975,0,0,0,0,1.8565,13.36725,3.2555,0.013,0.7845,4.12,0,0.47375,0.7255,0,0,0,0,2.20625,1.06475,0.00025,0,0.06375,1.8635,1.926,1.01975,0.07375,0.0005,30.4658,78.4837
243,Garhwal,Uttarakhand,22.31475,35.0755,0,0,0,0,2.2775,23.712,7.09825,0.11475,0.389,4.35875,0.006,0.2125,0.69425,0,0,0,0.009,1.76075,0.65525,0.00075,0,0.12225,0.958,1.07975,0.35975,0.3585,0.091,30.2500,79.3333
244,Dehradun,Uttarakhand,13.5115,24.42425,0,0,0,0,11.38625,2.3355,1.55975,0.24575,0.161,2.70225,0.1575,0.44075,1.1325,0,0,0.0045,0.01425,1.10975,1.4865,5.6335,0,2.29075,2.522,4.8115,1.00425,0.01725,2.52025,30.3256,78.0437
601,Cachar,Assam,223.115,0.13375,0,0,0,0,0.12325,0,0,0.07375,0.18675,4.01925,0,0.22775,3.1575,0.061,-0.04125,-0.21825,0,0,4.58475,0.72725,0.185,7.217,12.617,18.8985,4.27425,0.21775,0.07825,24.7586,92.8817
602,Darrang,Assam,311.45975,9.744,0,0,0,0,2.33175,0,0,0.474,0.9935,14.331,0,1.69775,42.62475,0.303,0.03925,0.371,0,0,46.22475,1.767,0.11575,9.07675,27.88375,34.92025,13.24775,0.89925,0.21725,26.4373,92.0047
603,Dibrugarh,Assam,144.56925,2.01175,0,0,0,0,1.94025,0,0,0.0515,0.213,5.15375,0,0.36,16.638,-0.0205,-0.0305,-0.292,0,0,17.536,0.011,0.022,6.792,9.992,16.07775,3.87025,0.09875,1.1625,27.4845,94.9019
604,Goalpara,Assam,378.627,21.9075,0,0,0,0,1.86075,0,0,0.5955,1.15325,19.988,0,2.986,53.64625,0.25825,0.0735,1.01875,0,0,60.66675,0.1525,0.0435,9.8875,27.24475,35.3245,11.04775,1.044,0.3185,26.0492,90.6002
605,Kamrup,Assam,476.65625,18.77825,0,0,0,0,0.821,0,0,0.6855,1.10525,27.087,0,2.95625,47.5255,1.3685,0.10625,2.4075,0,0,62.43425,0.6435,0.10825,15.17675,36.835,49.7525,17.22925,1.2835,0.28675,26.1469,91.2227
606,Karbi Anglong,Assam,119.28125,1.50725,0,0,0,0,10.22425,0,0,0.48075,0.99925,1.8715,0,2.4225,16.268,0.01825,0.29975,-0.241,0,0,17.59325,3.44,0.85125,4.60925,3.79025,8.09475,0.754,0.13325,-0.19725,26.0713,93.4553
607,Lakhimpur,Assam,184.4645,1.98325,0,0,0,0,0.76375,0,0,0.041,0.13625,6.05575,0,0.536,35.02725,0.007,0.227,-0.2765,0,0,34.18025,-0.02625,0.0844999999999999,4.971,13.38175,17.6215,7.96375,0.2245,0.226,27.1763,94.1993
608,North Cachar Hil / Dima hasao,Assam,14.0775,0.039,0,0,0,0,1.61425,0,0,0.0195,0.24,0.56225,0,0.5465,2.2845,-0.045,0.01675,-0.29825,0,0,2.74875,1.1105,0.56475,5.59475,1.7475,7.0735,0.7635,0.0105,-0.1855,26.4074,93.2551
609,Nagaon,Assam,298.34,12.42175,0,0,0,0,0.708,0,0,0.3165,1.7575,13.2205,0,1.5155,30.88275,0.1445,0.01425,0.3125,0,0,36.2205,5.34125,0.1035,7.8075,17.041,23.4355,6.148,0.6775,0.2435,26.3314,92.7525
610,Sibsagar,Assam,286.0515,3.085,0,0,0,0,0.3545,0,0,0.053,0.1965,9.303,0,0.3415,23.9015,0.0035,0.00700000000000001,-0.296,0,0,24.97775,3.00975,0.045,9.0995,16.16375,24.16,4.598,0.3405,0.6805,26.9835,94.6394
626,Bilashpur,Himachal Pradesh,2.31725,25.34825,0,0,0,0.00425,25.42525,0.001,0.29775,0.67325,0.005,0.9065,0.0075,0.2405,0.30975,0,0,0.001,0,0.0145,0.526,0.0635,0.01375,0.186,0.24325,0.47975,-0.032,0.00850000000000001,0.07525,31.9292,77.1828
627,Chamba,Himachal Pradesh,3.048,18.90575,0,0,0,0.00275,27.19575,0.11375,4.13375,0.00425,0.00125,2.954,0,0.052,2.541,0,0,0.04475,0,0,2.21,0,0.00025,1.19875,0.63725,1.889,0.515,-0.00949999999999997,-0.015,32.6923,76.1632
629,Kangra,Himachal Pradesh,41.30875,153.09325,0.00925,0,0.00925,0.12075,117.07375,0.0125,3.2655,1.8265,0.028,5.91975,0.0105,4.084,2.3825,0,0,2.41225,0,0.0555,7.92675,1.2,0.081,4.08925,2.509,6.6615,1.63675,0.26,3.47225,32.0769,76.2986
630,Kinnaur,Himachal Pradesh,-0.028,0.56275,0,0,0,0.00225,0.37075,0.08925,1.4005,0,0.00525,0.71375,0,0,0.02475,0,0,0,0,0,0.0095,0,0,1.65225,0.3375,2.217,0.2025,-0.05,-0.02075,31.5930,78.3281
631,Kullu,Himachal Pradesh,2.01825,22.0005,0,0,0,0,15.8745,0.124,3.67275,0.04775,0.09625,2.513,0.013,0.00125,0.67575,0,0,0.008,0,0.00325,0.538,0,0,5.61,1.725,7.42725,0.99525,-0.0175,0.004,31.9579,77.1089
632,Lahul & Spiti,Himachal Pradesh,0,0.05275,0.00025,0,0.00025,0,0.0285,0,0.58925,0,0.00375,0.70975,0,0,0.026,0,0,0,0,0,0.0125,0,0,-0.00949999999999998,1.0135,1.05375,0.87325,-0.05,-0.025,31.9292,77.1828
633,Solan,Himachal Pradesh,4.08325,23.724,0.069,0,0.069,0.00225,23.595,0,1.73625,1.2165,0.113,2.7465,0.36525,0.301,0.41675,0,0,0.00575,0,0.015,1.0115,0.215,0.05175,0.54275,1.958,2.5515,0.0635,-0.025,0.78,30.9078,77.1024
634,Mandi,Himachal Pradesh,21.78425,63.48625,0,0,0,0.02625,46.22575,1.41375,4.09875,0.0895,0.00175,4.07025,0.0065,0.05875,0.38575,0,0,0.3695,0,0.28975,0.9225,0.012,0.00075,4.38425,3.54175,7.9765,2.1085,0.04025,0.4745,31.6517,77.0093
635,Shimla,Himachal Pradesh,3.04625,21.24675,0,0,0,0.014,16.812,1.4015,5.09025,0.03625,0.01575,4.591,0.0105,0.0485,0.54575,0,0,0,0,0.01525,0.5455,0.00125,0,19.3305,8.34575,27.812,5.3295,-0.0205,-0.015,31.1040,77.1708
