`,DistName,StateName,mean_RICEAREA_1000Ha_,mean_WHEATAREA_1000Ha_,mean_KHARIFSORGHUMAREA_1000Ha_,mean_RABISORGHUMAREA_1000Ha_,mean_SORGHUMAREA_1000Ha_,mean_PEARLMILLETAREA_1000Ha_,mean_MAIZEAREA_1000Ha_,mean_FINGERMILLETAREA_1000Ha_,mean_BARLEYAREA_1000Ha_,mean_CHICKPEAAREA_1000Ha_,mean_PIGEONPEAAREA_1000Ha_,mean_MINORPULSESAREA_1000Ha_,mean_GROUNDNUTAREA_1000Ha_,mean_SESAMUMAREA_1000Ha_,mean_RAPESEEDANDMUSTARDAREA_1000Ha_,mean_SAFFLOWERAREA_1000Ha_,mean_CASTORAREA_1000Ha_,mean_LINSEEDAREA_1000Ha_,mean_SUNFLOWERAREA_1000Ha_,mean_SOYABEANAREA_1000Ha_,mean_OILSEEDSAREA_1000Ha_,mean_SUGARCANEAREA_1000Ha_,mean_COTTONAREA_1000Ha_,mean_FRUITSAREA_1000Ha_,mean_VEGETABLESAREA_1000Ha_,mean_FRUITSANDVEGETABLESAREA_1000Ha_,mean_POTATOESAREA_1000Ha_,mean_ONIONAREA_1000Ha_,mean_FODDERAREA_1000Ha_,lat,lng
111,Nanded,Maharashtra,22.70275,30.9475,192.8375,32.50025,225.3375,0.6875,1.54475,0.015,0.0075,34.18225,52.35325,73.97225,11.0835,7.54875,0.34275,7.105,0.73275,2.5205,14.4425,73.805,106.071,12.73,255.0935,5.68675,1.03275,6.71925,0.00625,0.324,0.7475,19.0943,77.4833
112,Osmanabad,Maharashtra,30.935,55.98,245.4535,241.38425,486.83775,22.8425,15.1935,0.0425,0.0325,101.62075,146.662,128.14375,33.46125,15.124,0.805,54.405,0.934,15.748,106.50125,121.88,335.4195,43.6775,24.5565,3.06275,5.082,8.14475,0.15775,1.69575,6.7925,18.2822,76.0588
113,Buldhana,Maharashtra,1.46025,37.78,141.079,9.0345,150.1135,7.76425,23.94,0,0,38.0175,57.24125,111.42925,10.17975,8.2915,0.19,26.4525,0.1855,0.3555,7.8435,104.7375,140.4425,1.175,232.08475,2.017,2.63975,4.657,0.022,1.80325,0.065,20.5628,76.4087
114,Akola,Maharashtra,3.6525,35.72,180.45925,0.64475,181.10425,3.7925,0.857,0,0,66.985,84.362,137.9235,8.58625,6.40125,0.145,15.125,0.1325,1.2175,7.00625,153.9225,166.57675,1.0355,304.7055,4.734,2.038,6.772,0.0045,0.933,0.22,20.7618,77.1921
115,Amarawati,Maharashtra,9.755,33.7725,125.2535,0.1375,125.391,2.3625,1.274,0,0.0025,50.585,85.79775,54.28,15.89425,4.4545,0.1825,3.3925,0.5475,1.8925,3.10025,144.1,155.8705,1.09875,296.256,26.61375,3.03975,29.6535,0.025,1.4375,0.1225,19.5670,76.4165
116,Yeotmal,Maharashtra,5.6325,23.5625,157.92375,0.50075,158.42425,6.7835,0.5365,0,0,27.955,100.6895,52.73475,14.022,7.005,0.1075,0.6425,0.16,1.7925,1.9375,105.98,118.1985,5.5305,405.5,4.055,1.69075,5.7455,0.001,0.44775,0.12,19.5670,76.4165
117,Wardha,Maharashtra,3.2025,23.618,58.6775,1.1825,59.86,0.315,0.5015,0,0,19.17,52.4455,5.83875,8.19725,5.14825,0.0775,0.0625,0.0425,4.41025,0.39775,97.2275,109.27525,1.68975,157.174,4.66425,1.73325,6.3975,0.005,0.2285,0.15,20.8256,78.6131
118,Nagpur,Maharashtra,49.927,64.71,71.9875,23.99,95.9775,0.1475,0.31675,0,0,40.3025,52.728,12.33625,12.21975,7.62625,0.2525,0.0275,0.1065,15.69275,1.52175,152.525,181.537,0.813,76.56675,14.75975,8.295,23.055,0.0605,0.47525,0.1125,21.1498,79.0821
119,Bhandara,Maharashtra,328.93225,20.57225,0.6825,8.9875,9.67,0,0.383,0,0,11.445,11.131,37.331,0.62775,2.006,0.33,0.0675,0.095,19.005,0.045,6.9175,30.0225,1.8095,0.001,0.814,4.02475,4.83875,0.1425,0.486,0.0775,21.1226,79.7945
120,Chandrapur,Maharashtra,284.462,30.0415,22.8055,82.8,105.6055,0.01625,2.49925,0.075,0,22.2575,27.3975,57.6995,0.26175,20.17275,0.68025,0.08,0.1465,26.05,0.32075,79.4675,122.228,0.052,69.72225,0.60825,2.68875,3.297,0.0185,0.33425,0.3525,20.0968,79.5045
121,Ahmedabad,Gujarat,82.723,116.4575,28.55675,0.86225,29.37,50.4125,0.6835,0.04825,0.25075,14.917,3.81825,11.57625,3.00425,6.41575,8.44075,0.1515,32.084,0,0.005,0.0535,46.7225,0.5075,172.068,3.8765,9.78975,13.48325,2.019,0.097,70.1915,23.0215,72.5801
122,Amreli,Gujarat,0.16,21.12325,21.105,0.57925,21.83925,45.84575,1.64525,0,0.0075,2.85225,0.60725,5.18275,246.988,25.65325,1.1805,0,1.43725,0,0.0075,0.019,281.06725,3.3955,132.52725,2.583,2.45475,4.839,0.004,1.50625,18.053,21.4176,71.2496
123,Banaskantha,Gujarat,0.1295,55.235,40.47925,1.0675,45.32425,277.93525,10.058,0.0795,1.3875,1.1865,4.11625,52.63125,19.7635,13.2,123.2335,0.0025,83.27725,0,0,0,223.6915,0.3375,21.753,0.90475,14.94325,15.74375,17.9135,0.317,120.32375,24.2694,72.5368
124,Bharuch,Gujarat,21.9475,20.54475,17.42125,30.28,50.67875,5.25675,7.2845,0.293,0.015,2.67125,96.783,20.11925,6.29525,2.7455,0.22875,0.0325,3.3105,0,0.0075,1.95925,13.5245,19.329,123.90275,9.90625,4.14675,13.31775,0.0025,0.09025,22.8685,21.7080,72.9957
125,Vadodara / Baroda,Gujarat,52.14125,20.203,7.31975,21.001,31.5155,15.61,46.647,0.1325,0.1175,2.12925,77.83175,19.8525,12.524,1.679,0.65675,0.005,12.709,0,0,2.918,26.67425,4.1785,172.36125,8.19625,10.623,18.20575,0.79425,0.32925,26.93575,22.3036,73.2037
126,Bhavnagar,Gujarat,0.455,22.4795,34.6785,0.54775,43.21125,95.92575,1.153,0,0.015,1.6875,0.5985,6.45925,165.6655,28.407,0.26925,0,0.46025,0,0.015,0.085,206.12525,0.7495,180.288,8.6185,15.281,23.15575,0.0125,17.8825,33.15675,21.7719,72.1416
127,Valsad,Gujarat,111.268,1.87075,3.9285,0.35175,4.325,0.002,0.02725,10.278,0.03,1.86975,8.1385,18.43575,1.4465,0.0655,0.036,0,0.10225,0,0,0.005,2.638,28.48825,0.7875,30.38575,6.1485,34.947,0,0.28775,68.60175,20.4322,73.1410
128,Dangs,Gujarat,11.58275,0.673,2.52725,0.01,2.55475,0,0.977,13.108,0,2.88175,3.1315,6.33,2.44125,0.005,0,0,0,0,0,0.44125,4.71425,0.03175,0,1.01375,0.96375,1.8795,0.0025,0.1105,2.858,20.7500,73.7500
129,Jamnagar,Gujarat,0.0675,23.5115,18.5195,0.40875,18.38575,41.355,1.02975,0,0,11.6445,1.658,7.3455,369.5925,19.75225,4.32675,0,9.88625,0,0.0075,0.08575,385.144,0.99375,79.515,0.861,5.10675,5.905,0.60425,1.6495,36.1295,22.4732,70.0552
130,Junagadh,Gujarat,0.7,77.451,4.97525,8.96225,15.4425,30.588,1.23525,0,0.0225,14.144,1.29725,9.192,424.15275,8.80775,0.61975,0,5.16775,0,0,0.34975,431.528,8.26075,48.25375,11.65,8.6015,19.417,0,3.487,33.6625,21.5220,70.4582
131,Kheda,Gujarat,153.3645,84.965,2.51875,0.82125,4.23,130.27475,17.4035,0.81425,0.0325,3.86175,10.524,7.53675,9.87125,6.50375,5.76025,0.0275,11.174,0,0,0.14225,31.34575,0.472,26.467,13.93525,19.42775,32.43,7.21075,0.44125,22.14075,22.8533,72.9954
132,Kutch,Gujarat,0,17.50675,23.192,0.095,23.287,76.852,0.2745,0,0,0.37875,0.023,99.27675,70.06225,23.3775,9.0695,0,49.57225,0,0.165,0.03125,145.262,0.2255,60.9455,8.54425,2.75525,10.51325,0.16175,0.54175,118.837,23.5833,70.0000
133,Mehsana,Gujarat,11.4875,90.4095,39.8975,0.16075,44.375,146.674,0.692,0.03325,1.07425,6.721,3.71325,44.31,6.44625,8.46575,88.325,0.0185,93.3195,0,0,0.0335,194.30375,0.075,101.90775,8.072,12.18625,19.73225,4.999,0.51525,88.7735,23.6013,72.3742
134,Panchmahal,Gujarat,111.81425,45.9175,2.2235,2.7465,5.4225,18.8745,207.7835,3.25,0.23,36.16425,32.505,22.2855,14.441,2.18625,0.8125,0,2.768,0,0.0075,7.91375,22.812,0.10025,17.75375,1.9175,3.0985,4.75775,0.137,0.76,9.228,22.6978,73.5981
135,Rajkot,Gujarat,0.2025,50.97825,12.20675,0.22375,12.418,46.7595,0.607,0,0,5.157,0.878,8.84575,387.98625,21.63,2.89,0,10.1665,0,0.005,0.11575,409.301,2.8255,194.8725,0.602,6.5135,7.074,0.0025,3.40875,32.7615,22.3053,70.8028
136,Sabarkantha,Gujarat,15.72575,77.397,5.9475,0.208,7.1355,33.5915,97.9715,0.16275,0.275,3.13875,26.0775,33.9085,54.10475,5.022,8.205,0,40.238,0,0.0075,1.85325,95.7035,0.31,79.5315,4.54525,6.26525,10.4795,5.922,0.2665,23.8555,23.8689,73.0138
137,Surat,Gujarat,82.117,9.86,45.31125,8.589,60.21925,0.63075,2.00175,1.1005,0,2.9665,32.0635,15.2235,21.5495,0.5205,0.05125,0,0.54725,0,0.035,2.5785,20.52925,100.20025,16.114,10.65775,9.39425,19.365,0.0055,0.50875,44.12175,21.2095,72.8317
138,Surendranagar,Gujarat,0.59525,26.439,34.77,0.60825,37.39075,67.56575,0.04775,0,0.0375,9.065,0.0805,11.32175,27.6905,43.70475,1.1345,0.005,17.15325,0,0.01,0.07,83.90625,0.4315,371.886,1.04125,3.46675,4.40125,0.0085,0.517,44.47925,22.8251,71.6210
139,Ajmer,Rajasthan,0.0557499999999999,46.51675,121.51225,0,124.7975,67.938,39.5625,0,17.7155,44.02025,0.0225,64.8815,6.062,12.87925,20.7345,0,0.08775,1.029,0.00575,0.0115,47.86325,0.075,12.231,0.797,5.199,5.99625,0.01925,1.53,17.43225,26.4691,74.6390
140,Alwar,Rajasthan,0.27375,160.551,23.51775,0,23.51775,201.35525,9.932,0,17.921,66.72875,3.10275,1.9715,0.78775,5.65125,193.754,0,0.005,0.02325,0.008,0.00425,192.024,0.1685,9.551,0.68375,10.1015,10.784,0.14225,5.13225,47.61175,27.4140,76.6170
141,Banswara,Rajasthan,37.89525,67.1465,3.33925,0,3.33925,0.0545,119.59075,0,1.99125,26.60275,6.876,28.73475,0.52425,0.6615,0.89275,0,0.0859999999999999,0.212,0.0005,22.22275,19.498,0.77025,13.004,0.087,0.45725,0.545,0.00525,0.1355,1.59675,23.4915,74.3502
142,Barmer,Rajasthan,0,14.2265,2.36525,0.00075,2.36575,900.12125,0.0165,0,0.15425,0.865,0,198.90925,0.4705,7.4035,12.237,0,10.88775,0.00625,0,0,31.71725,0,0.052,0.12075,0.39225,0.51275,0.00175,0.1335,306.148,25.5815,71.1925
143,Bharatpur,Rajasthan,3.232,164.18,36.204,0,36.204,163.534,0.10825,0,8.476,43.04375,2.21,8.4845,2.6705,5.5945,233.1555,0,0.05725,0.4505,0.00875,0.009,232.885,0.86775,1.106,1.26025,6.826,8.08625,3.39775,0.20325,33.44475,27.0247,77.2920
144,Bhilwara,Rajasthan,0.20425,84.85725,35.91925,0,35.91925,1.95675,156.2005,0,20.24275,28.03275,0.05775,43.92225,15.219,21.54425,22.90225,0,0.02675,1.043,0.00075,2.221,69.029,0.6195,22.729,0.51875,1.5275,2.04725,0.01325,0.14775,31.5405,25.4710,74.6961
145,Bikaner,Rajasthan,0.03475,46.51725,1.12275,0.00025,1.123,207.36525,0.00225,0,1.532,90.6585,0.00425,266.7585,47.863,13.761,31.915,0,0.0725,0.02025,0.003,0.00175,86.14,0.053,9.7295,0.08725,0.587,0.675,0.0075,0.1995,483.10425,28.0159,73.3171
